Yfog,ENP Normal (Average),ENP V_k,ENP V_k Recursive,Prob O Scores TD/FG,Prob D Scores TD/FG,1 - P(O) - P(D),"ENP_O | O, yrdline = x","ENP_O | D, yrdline = x","ENP_O | No TD/FG, yrdline = x",# Obs ENP Normal (Average),"# Obs (ENP_O | O, yrdline = x)","# Obs (ENP_O | D, yrdline = x)","# Obs (ENP_O | No TD/FG, yrdline = x)"
1,-1.28328173374613,-1.6637233859091385,-1.6706058891448317,0.29411764705882354,0.47368421052631576,0.23219814241486064,5.163157894736842,-5.627450980392157,-0.2,646,190,306,150
2,-0.31100478468899523,-1.1467381749621877,-1.1534146404055121,0.31100478468899523,0.43381180223285487,0.25518341307814996,5.38974358974359,-5.4338235294117645,-0.0375,627,195,272,160
3,-0.25203252032520324,-0.93748799265228,-0.9442364287681643,0.3382113821138211,0.4146341463414634,0.24715447154471554,5.3701923076923075,-5.490196078431373,-0.06578947368421052,615,208,255,152
4,-0.31191222570532917,-1.032255260927555,-1.0390133150167389,0.32445141065830724,0.42946708463949845,0.24608150470219436,5.63768115942029,-5.543795620437956,-0.07643312101910828,638,207,274,157
5,-0.3102409638554217,-1.0845097409001838,-1.0913676685437752,0.338855421686747,0.42620481927710846,0.23493975903614456,5.297777777777778,-5.614840989399293,-0.07692307692307693,664,225,283,156
6,-0.3242506811989101,-0.7479877126630936,-0.7548877216065639,0.36103542234332425,0.4087193460490463,0.23024523160762939,5.388679245283019,-5.416666666666667,-0.03550295857988166,734,265,300,169
7,-0.4847001223990208,-0.6261358592208607,-0.6335088634373421,0.40269277845777235,0.41982864137086906,0.17747858017135865,5.303951367781155,-5.3615160349854225,-0.041379310344827586,817,329,343,145
8,-0.1268939393939394,-0.8453866066425647,-0.8525764057846569,0.3664772727272727,0.4356060606060606,0.19791666666666669,5.385012919896641,-5.3304347826086955,-0.028708133971291867,1056,387,460,209
9,0.1460415065334358,-0.5507902356463199,-0.5578731678336961,0.388162951575711,0.4019984627209839,0.2098385857033051,5.483168316831684,-5.4455066921606115,-0.029304029304029304,1301,505,523,273
10,-0.22774076317383404,-0.8818786756005678,-0.8891214677480491,0.37310720775287703,0.4348879466989703,0.19200484554815272,5.5064935064935066,-5.600278551532034,-0.031545741324921134,1651,616,718,317
11,-0.22466335931963147,-0.8685571167215501,-0.8756786886423152,0.369950389794472,0.42452161587526577,0.2055279943302622,5.344827586206897,-5.56093489148581,0.006896551724137931,1411,522,599,290
12,0.11330409356725146,-0.31532995749942333,-0.3226950376869023,0.4283625730994152,0.3932748538011696,0.17836257309941522,5.392491467576792,-5.381040892193308,-0.03278688524590164,1368,586,538,244
13,0.1971153846153846,-0.5474015285725164,-0.5547401104854952,0.40796703296703296,0.4107142857142857,0.18131868131868134,5.398989898989899,-5.461538461538462,-0.030303030303030304,1456,594,598,264
14,0.1521610420367081,-0.20952109760616733,-0.21664339546222655,0.42628774422735344,0.36826524570751923,0.2054470100651274,5.340277777777778,-5.432475884244373,0.005763688760806916,1689,720,622,347
15,0.45772151898734176,-0.37135660513365476,-0.37837795282519093,0.4,0.38329113924050634,0.21670886075949364,5.525316455696203,-5.483487450462351,0,1975,790,757,428
16,0.2692501258178158,-0.22989541861601115,-0.23700970087746143,0.41771514846502267,0.3759436336185204,0.20634121791645693,5.474698795180723,-5.401606425702811,0,1987,830,747,410
17,0.5901386748844376,0.09969041789946803,0.09246680844383875,0.4504365690806369,0.3554185927067283,0.19414483821263478,5.525655644241733,-5.336705202312139,0.005291005291005291,1947,877,692,378
18,0.38586703858670385,-0.025728166143866155,-0.032950131787581285,0.44397954439795445,0.36169223616922364,0.19432821943282197,5.4219895287958115,-5.359897172236503,-0.004784688995215311,2151,955,778,418
19,0.3691077441077441,-0.015447388818217587,-0.02270226681913232,0.44696969696969696,0.36237373737373735,0.19065656565656564,5.505649717514125,-5.463414634146342,-0.004415011037527594,2376,1062,861,453
20,0.32958313595452393,-0.07271517149984615,-0.08000922575939891,0.4436878256750355,0.3700260540028423,0.18628612032212222,5.448151608167623,-5.383101296207393,0.0012714558169103624,16888,7493,6249,3146
21,0.057052852642632136,-0.24107006234554218,-0.2483742176927084,0.43157157857892897,0.3832691634581729,0.18515925796289817,5.448499594484996,-5.458447488584475,-0.007561436672967864,2857,1233,1095,529
22,0.8223126483553747,0.027342236836328426,0.019965024742797276,0.4560868090878264,0.3669040352661919,0.1770091556459817,5.499628252788104,-5.393715341959335,0.011494252873563218,2949,1345,1082,522
23,0.5862652232746955,0.06311266355157254,0.055589169181913166,0.4736129905277402,0.36569688768606223,0.16069012178619757,5.457142857142857,-5.493061979648473,0.008421052631578947,2956,1400,1081,475
24,0.29450139794967384,-0.044320380164995746,-0.05159398096252489,0.44920782851817337,0.36222429325877603,0.18856787822305066,5.460580912863071,-5.518867924528302,-0.006589785831960461,3219,1446,1166,607
25,0.7358598362216721,0.32591659750811214,0.31858125155371714,0.4880975052370977,0.3302228147019615,0.18167968006094076,5.361295357003511,-5.4232987312572085,0.006289308176100629,5251,2563,1734,954
26,0.8567293777134588,0.39063972052572427,0.38330514436555474,0.48914616497829233,0.32908827785817657,0.1817655571635311,5.48698224852071,-5.44415127528584,-0.0031847133757961785,3455,1690,1137,628
27,0.6289156626506024,0.277205910708485,0.27002128651179325,0.469578313253012,0.33192771084337347,0.1984939759036145,5.490057729313663,-5.452813067150635,0,3320,1559,1102,659
28,0.8539224526600541,0.3293435112086123,0.32208778613900574,0.4824165915238954,0.32702134054703935,0.19056206792906527,5.438006230529595,-5.497242647058823,-0.0031545741324921135,3327,1605,1088,634
29,0.974616292798111,0.4866385647545048,0.47930181453594106,0.49763872491145217,0.32083825265643445,0.18152302243211332,5.450771055753262,-5.377184912603496,0.0032520325203252032,3388,1686,1087,615
30,0.6979458450046685,0.466178159998351,0.4588568002695341,0.4981325863678805,0.31862745098039214,0.18323996265172737,5.447047797563261,-5.485714285714286,0.005095541401273885,4284,2134,1365,785
31,1.1213909378292939,0.5898852095408693,0.5826517440259822,0.5013698630136987,0.3055848261327713,0.19304531085353,5.452711223203027,-5.402758620689655,0.006550218340611353,4745,2379,1450,916
32,1.0832941176470587,0.7695608885228632,0.7621345565234333,0.528,0.3004705882352941,0.17152941176470587,5.4893048128342246,-5.400939702427564,0.00823045267489712,4250,2244,1277,729
33,1.2060901339829477,0.6942706013117851,0.6870645384862327,0.510353227771011,0.2935444579780755,0.1961023142509135,5.456801909307876,-5.438174273858921,-0.009937888198757764,4105,2095,1205,805
34,1.2209332302139726,0.7645039531512277,0.7571253117440258,0.5320959010054138,0.29105439546274814,0.17684970353183804,5.347383720930233,-5.4171833480956595,0,3879,2064,1129,686
35,0.9856514695672298,0.6593464509282697,0.6519757598912083,0.5200185142328165,0.3022448507289979,0.17773663503818554,5.441922563417891,-5.516845329249617,0.0026041666666666665,4321,2247,1306,768
36,1.267297162767546,0.894927354044296,0.8875719542975017,0.539820806371329,0.28073668491786957,0.17944250871080142,5.438450899031812,-5.486702127659575,0.011095700416088766,4018,2169,1128,721
37,1.4220726783310902,0.9595632788069249,0.9521436262689668,0.5429340511440107,0.2847913862718708,0.1722745625841185,5.518591968269708,-5.379017013232514,0.0125,3715,2017,1058,640
38,1.1803187028235953,0.9600066445910325,0.9526164972342803,0.550461280402572,0.273972602739726,0.17556611685770196,5.408329101066531,-5.525510204081633,0.009554140127388535,3577,1969,980,628
39,1.3786712289706302,0.8816340718915472,0.8742088807719437,0.5454804676361562,0.28286284573709725,0.17165668662674655,5.343962362780973,-5.395161290322581,0,3507,1913,992,602
40,1.384003635537378,1.0400198821458904,1.0326670762880616,0.5548738922972052,0.26539422858441264,0.17973187911838218,5.396396396396397,-5.467465753424658,-0.0050568900126422255,4401,2442,1168,791
41,1.544187343183719,1.143484945165181,1.1361428893705232,0.5623083356565375,0.2567605241148592,0.1809311402286033,5.380763510163609,-5.374592833876221,-0.0030816640986132513,3587,2017,921,649
42,1.5602356406480118,1.1623578552574463,1.1550943195221979,0.5572901325478645,0.25301914580265095,0.18969072164948453,5.4334038054968286,-5.423748544819557,0.015527950310559006,3395,1892,859,644
43,1.8517520215633423,1.34818143763105,1.3408766198237871,0.5786163522012578,0.2362982929020665,0.18508535489667566,5.425983436853002,-5.474017743979721,0.006472491909385114,3339,1932,789,618
44,1.8964033200122963,1.3852677963636375,1.3778359940493807,0.5877651398708884,0.24131570857669843,0.17091915155241316,5.460774058577406,-5.4636942675159235,0.01079136690647482,3253,1912,785,556
45,1.6340080971659918,1.3109678310728352,1.3036757363501212,0.5781376518218624,0.23535762483130904,0.18650472334682858,5.34407096171802,-5.440366972477064,0,3705,2142,872,691
46,1.9196428571428572,1.6057086838120234,1.5983214653242859,0.6086309523809523,0.2154761904761905,0.17589285714285718,5.405378973105134,-5.482044198895028,0.01015228426395939,3360,2045,724,591
47,1.6634768740031898,1.5596278327938111,1.5521364668574043,0.6092503987240829,0.22647527910685805,0.16427432216905902,5.391623036649214,-5.366197183098592,0.011650485436893204,3135,1910,710,515
48,2.1138989765599208,1.7088358637362344,1.7013753138604768,0.6242984483327831,0.20798943545724663,0.16771211620997023,5.374933897408779,-5.46984126984127,0.003937007874015748,3029,1891,630,508
49,1.9112627986348123,1.6615350730593283,1.6539784701934406,0.6262798634812287,0.2167235494880546,0.15699658703071673,5.3732970027247955,-5.494488188976378,0.021739130434782608,2930,1835,635,460
50,2.026369168356998,1.7084252281280838,1.7009808488337002,0.6241669081425674,0.20631700956244567,0.16951608229498696,5.3068709377901575,-5.320224719101123,0.013675213675213675,3451,2154,712,585
51,1.871124031007752,1.6439216076710517,1.6364169426649902,0.6169250645994832,0.2202842377260982,0.16279069767441864,5.432984293193718,-5.44574780058651,0.027777777777777776,3096,1910,682,504
52,1.984380423464075,1.6597907381257906,1.652245625091089,0.6265185699409928,0.21520305449496702,0.15827837556404023,5.351246537396122,-5.47741935483871,0.008771929824561403,2881,1805,620,456
53,2.1730632551528073,1.9808289410314976,1.9733080523655968,0.652452025586354,0.1865671641791045,0.16098081023454155,5.35239651416122,-5.358095238095238,0.013245033112582781,2814,1836,525,453
54,2.3688464364437913,1.9002700859552206,1.892728813574344,0.6480529022777369,0.19324026451138868,0.1587068332108744,5.371315192743764,-5.513307984790875,0,2722,1764,526,432
55,2.2441935483870967,2.0443963804293004,2.0370054958281694,0.6516129032258065,0.17290322580645162,0.17548387096774193,5.346039603960396,-5.41044776119403,0.007352941176470588,3100,2020,536,544
56,2.323977823977824,2.0201121162044093,2.012626665036143,0.6541926541926542,0.18087318087318088,0.16493416493416496,5.362288135593221,-5.398467432950191,0,2886,1888,522,476
57,2.4939091915836102,1.986353774887969,1.9789086707152885,0.6537467700258398,0.17681801402731634,0.16943521594684385,5.284020327498588,-5.446764091858038,0.02178649237472767,2709,1771,479,459
58,2.2443403590944575,2.0653637129197966,2.057893791733207,0.6592505854800936,0.17408274785323966,0.1666666666666667,5.3422143280047365,-5.430493273542601,-0.00468384074941452,2562,1689,446,427
59,2.478862109838009,2.2771329210651805,2.269617548757978,0.6803634926906361,0.15804030027657054,0.16159620703279334,5.331010452961673,-5.2975,0.004889975550122249,2531,1722,400,409
60,2.671061762664816,2.2671742142209124,2.2595664027473252,0.6904927133934767,0.1582234559333796,0.15128383067314366,5.276884422110553,-5.4451754385964914,0.03211009174311927,2882,1990,456,436
61,2.6955521472392636,2.4481658699226023,2.440593982020429,0.7032208588957055,0.14148773006134968,0.1552914110429448,5.306434023991276,-5.420054200542006,0.0049382716049382715,2608,1834,369,405
62,2.596419853539463,2.443805184473601,2.4360812008739936,0.709519934906428,0.15215622457282343,0.13832384052074861,5.373279816513762,-5.564171122994653,0.041176470588235294,2458,1744,374,340
63,2.8589958158995814,2.590709759358585,2.5828635291716338,0.7338912133891213,0.1414225941422594,0.12468619246861926,5.303306727480045,-5.440828402366864,0.03355704697986577,2390,1754,338,298
64,2.9502487562189055,2.645184035991701,2.637405655373029,0.7359038142620232,0.1318407960199005,0.13225538971807627,5.284507042253521,-5.415094339622642,0.012539184952978056,2412,1775,318,319
65,2.816552250190694,2.657717457654505,2.6498885700035717,0.7467581998474447,0.12662090007627766,0.1266209000762776,5.2160367722165475,-5.5602409638554215,0.012048192771084338,2622,1958,332,332
66,2.9539447336804163,2.571126791807526,2.563243437257706,0.7480977172607128,0.13135762915498597,0.12054465358430119,5.135438972162741,-5.567073170731708,-0.006644518272425249,2497,1868,328,301
67,3.122217372326495,2.7668123039193286,2.7588696029108033,0.7621126145787865,0.12396333478830206,0.1139240506329114,5.212485681557847,-5.369718309859155,0.022988505747126436,2291,1746,284,261
68,3.070725156669651,2.819460833221204,2.811544188010206,0.7609668755595345,0.12220232766338407,0.11683079677708147,5.288235294117647,-5.446886446886447,0.01532567049808429,2234,1700,273,261
69,3.1548076923076924,2.8874054226278942,2.879501671403161,0.7735576923076923,0.10817307692307693,0.11826923076923074,5.187072715972654,-5.426666666666667,0.016260162601626018,2080,1609,225,246
70,3.216396171452351,3.0558363804058573,3.0478460826871685,0.7935913441531419,0.09779442363712026,0.10861423220973782,5.233875196643943,-5.659574468085107,0.01532567049808429,2403,1907,235,261
71,3.321476211649622,3.091886065106955,3.0839504778686275,0.7985771453979547,0.08670520231213873,0.11471765228990662,5.124164810690423,-5.282051282051282,0,2249,1796,195,258
72,3.3985401459854017,3.0900077804870634,3.081994790577712,0.8038929440389294,0.09002433090024331,0.10608272506082728,5.141041162227603,-5.5027027027027025,0,2055,1652,185,218
73,3.1575,3.242650240633708,3.2346096174684633,0.8125,0.0845,0.103,5.230769230769231,-5.455621301775148,0.02912621359223301,2000,1625,169,206
74,3.633216256899147,3.277991576453988,3.2699721869051546,0.8133467134972403,0.08128449573507275,0.10536879076768695,5.215916101172116,-5.135802469135802,0.009523809523809525,1993,1621,162,210
75,3.5332725615314495,3.2887653604675573,3.2806635261669164,0.8199635369188697,0.08386508659981769,0.09617137648131262,5.256253474152307,-5.608695652173913,0.02843601895734597,2194,1799,184,211
76,3.6187683284457477,3.374997031568646,3.3667647841143347,0.8411534701857283,0.0772238514173998,0.08162267839687191,5.164439279488669,-5.30379746835443,0.03592814371257485,2046,1721,158,167
77,3.757070707070707,3.382388231684753,3.3740581377554655,0.85,0.07929292929292929,0.07070707070707073,5.161021984551397,-5.503184713375796,0.014285714285714285,1980,1683,157,140
78,3.972129319955407,3.660717781135754,3.6524883763235056,0.855072463768116,0.06298773690078038,0.08193979933110365,5.346805736636245,-5.539823008849558,0,1794,1534,113,147
79,3.6380741560597674,3.6922614213735194,3.6840068897601377,0.8544548976203652,0.06640841173215274,0.07913669064748206,5.395725388601036,-5.35,0.013986013986013986,1807,1544,120,143
80,3.6695238095238096,3.5846595874631437,3.576412794473149,0.8519047619047619,0.0680952380952381,0.07999999999999996,5.307993292342091,-5.5174825174825175,0.023809523809523808,2100,1789,143,168
81,3.9754404698344903,3.7596152024475518,3.751283029813797,0.8686599038974907,0.060864922584089695,0.0704751735184196,5.362630608481869,-5.412280701754386,0,1873,1627,114,132
82,3.9421965317919074,3.8114372787713258,3.8031780503055983,0.8722543352601156,0.049132947976878616,0.07861271676300574,5.332007952286283,-5.6235294117647054,0.014705882352941176,1730,1509,85,136
83,4.069444444444445,3.87192472958025,3.8636974413844647,0.8628472222222222,0.05497685185185185,0.08217592592592593,5.474849094567404,-5.315789473684211,0.028169014084507043,1728,1491,95,142
84,4.176139912554653,3.878616907447559,3.870358468659138,0.868207370393504,0.05309181761399125,0.0787008119925047,5.453956834532374,-5.529411764705882,0.015873015873015872,1601,1390,85,126
85,4.055035773252614,4.027898474580011,4.01967950571032,0.8695652173913043,0.04733076499724821,0.08310401761144746,5.5886075949367084,-5.732558139534884,0.013245033112582781,1817,1580,86,151
86,4.6689655172413795,4.098103793683097,4.089773543642605,0.8844827586206897,0.04482758620689655,0.07068965517241374,5.559454191033138,-5.653846153846154,0.04878048780487805,1740,1539,78,123
87,4.449105490438002,4.1855143407785365,4.177114481223376,0.9006785934608267,0.03639728562615669,0.06292412091301663,5.522602739726027,-5.864406779661017,-0.0196078431372549,1621,1460,59,102
88,4.187335092348285,4.0517322825986515,4.043182277820967,0.9003957783641161,0.05343007915567282,0.046174142480211074,5.47985347985348,-5.62962962962963,0.05714285714285714,1516,1365,81,70
89,4.265151515151516,4.132181355346091,4.123780119310266,0.8993506493506493,0.03787878787878788,0.06277056277056278,5.465703971119134,-5.614285714285714,0.05172413793103448,1848,1662,70,116
90,4.527205882352941,4.0449644704636185,4.036560809128706,0.8941176470588236,0.04338235294117647,0.06249999999999996,5.4292763157894735,-5.4576271186440675,0.023529411764705882,1360,1216,59,85
91,4.571687840290381,4.392889536788071,4.3844462211528485,0.9092558983666061,0.032667876588021776,0.05807622504537208,5.63872255489022,-4.851851851851852,0.020833333333333332,1653,1503,54,96
92,4.951559389515594,4.513968441254083,4.5054268565236715,0.9223623092236231,0.030524220305242204,0.04711347047113474,5.719424460431655,-5.913043478260869,0.056338028169014086,1507,1390,46,71
93,4.9324324324324325,4.650362008564855,4.641852355104997,0.9148648648648648,0.03445945945945946,0.05067567567567569,5.908419497784343,-5.078431372549019,0.02666666666666667,1480,1354,51,75
94,5.074200136147039,4.60994501966423,4.6015058901875365,0.9033356024506467,0.0381211708645337,0.0585432266848196,5.963074604370761,-5.285714285714286,0.023255813953488372,1469,1327,56,86
95,5.3099257258609045,4.973420886047068,4.96486855764465,0.9264010803511141,0.027683997299122215,0.04591492234976366,6.153790087463557,-5.219512195121951,0.029411764705882353,1481,1372,41,68
96,5.064673157162726,5.093434210394418,5.08488795564047,0.9283727399165508,0.025034770514603615,0.0465924895688456,6.247940074906367,-5.027777777777778,0.05970149253731343,1438,1335,36,67
97,5.331594634873324,5.2201303645492825,5.211540511810725,0.9329359165424739,0.02533532041728763,0.041728763040238495,6.381789137380192,-5.794117647058823,0,1342,1252,34,56
98,5.291479820627803,5.392321987832923,5.383766750742991,0.9342301943198804,0.020179372197309416,0.045590433482810166,6.5088,-5.148148148148148,0,1338,1250,27,61
99,5.597929936305732,5.578446749864587,5.569736203232519,0.9506369426751592,0.02109872611464968,0.02826433121019113,6.61892797319933,-5.660377358490566,0.028169014084507043,2512,2388,53,71
