pid,type,bc,psr,trg,conv
456,PASS,,RC-2800,RI-0200,1
1276,RUSH,KF-0200,,,0
1408,RUSH,JS-6500,,,1
1621,PASS,,JP-3200,DB-3100,0
1766,PASS,,RL-0300,FJ-0500,0
2412,RUSH,OG-0300,,,0
2422,PASS,,KW-0500,AH-0200,0
2528,PASS,,TB-0200,BC-1600,1
2779,PASS,,BF-0100,TD-0800,1
3052,RUSH,MA-1000,,,1
3738,PASS,,DM-2200,CJ-1400,0
3861,PASS,,,,0
3904,PASS,,JB-3800,WJ-0200,0
4071,PASS,,RM-4300,TO-0200,1
4705,RUSH,TJ-2700,,,0
4881,RUSH,CM-0600,,,0
6138,RUSH,LJ-1000,,,0
7955,PASS,,GF-0400,RS-2100,0
8050,PASS,,EG-0600,TR-0300,0
9004,PASS,,VT-0200,LC-0800,1
9169,RUSH,RD-0700,,,0
9461,RUSH,EJ-0200,,,1
9569,PASS,,TA-0300,JH-1800,1
10084,RUSH,MA-1000,,,0
10136,PASS,,BG-1900,EM-0500,1
11427,PASS,,DM-2200,TS-1900,1
11717,RUSH,SP-1400,,,0
12586,PASS,,BF-0100,DD-2600,1
13558,RUSH,RG-0200,,,1
15308,RUSH,TB-0400,,,0
15718,PASS,,KL-1700,LF-0300,1
15741,RUSH,MF-0300,,,0
15763,RUSH,MF-0300,,,1
15784,RUSH,MF-0300,,,1
15832,RUSH,JA-1600,,,1
15842,PASS,,KW-0500,RW-2900,1
16021,RUSH,BB-1100,,,0
16381,RUSH,JS-6500,,,1
16610,PASS,,CC-1400,RK-0200,0
17411,PASS,,PM-0200,TW-2100,0
17718,PASS,,EG-0600,DA-0600,0
17759,PASS,,TG-1600,TH-2300,0
17901,PASS,,DC-4400,MW-2900,1
18559,PASS,,VT-0200,RA-1100,0
19675,RUSH,JS-6500,,,1
20402,PASS,,JK-1500,CF-0300,0
20721,PASS,,JH-1100,TF-0700,0
20941,RUSH,KH-1500,,,0
20978,RUSH,JP-3200,,,0
21312,PASS,,PM-0200,MP-1500,1
21354,RUSH,EJ-0200,,,0
21806,PASS,,SC-0200,JM-6400,1
22172,RUSH,TJ-0400,,,1
22815,RUSH,JH-1100,,,0
23141,RUSH,SB-0700,,,1
23800,RUSH,KF-0200,,,1
25285,PASS,,MH-1600,AF-1300,0
25633,PASS,,VT-0200,MC-2100,1
27305,PASS,,AB-2900,WJ-0200,0
27631,PASS,,DB-4500,DB-3100,0
28076,PASS,,KS-2300,MB-4400,0
28094,RUSH,RH-3400,,,1
28235,PASS,,JG-1000,JT-2800,0
28430,RUSH,CW-0700,,,0
31185,RUSH,AS-2500,,,0
32530,PASS,,JG-0600,JS-6900,1
33744,PASS,,,,0
33830,PASS,,JG-1000,AC-2300,0
34433,PASS,,EG-0600,TG-1300,0
34878,RUSH,TA-0500,,,1
34900,RUSH,WR-0500,,,0
35028,PASS,,KW-0500,AH-0200,0
35086,PASS,,DC-4400,RM-5000,1
35549,RUSH,CM-2600,,,0
35577,RUSH,SB-1900,,,1
35897,PASS,,JK-1500,SD-0500,0
35916,PASS,,,,0
36388,RUSH,JF-0700,,,0
36405,PASS,,SB-0700,MM-5500,0
38338,PASS,,MB-4500,KB-1700,1
38478,PASS,,,,0
38653,PASS,,EG-0600,SM-3500,0
38747,RUSH,JL-1400,,,1
39150,RUSH,SK-0400,,,1
39620,RUSH,MF-0300,,,0
40534,PASS,,PM-0200,KD-1000,1
40775,RUSH,MF-0300,,,0
40800,PASS,,KW-0500,MF-0300,1
41277,PASS,,AB-2900,JR-0900,0
43422,RUSH,RG-0200,,,1
45379,PASS,,DF-1300,CC-4100,0
45605,PASS,,RJ-1200,PP-1000,0
46064,RUSH,JM-3500,,,1
46248,PASS,,RP-1900,EC-0400,0
46290,RUSH,JG-0600,,,0
46339,PASS,,KW-0500,RP-1900,1
46617,PASS,,BG-1900,DC-0800,1
47233,PASS,,BF-0100,AF-1300,1
47928,PASS,,PM-0200,MH-1200,0
48921,PASS,,CS-4100,TH-0400,0
48933,PASS,,CS-4100,MW-1600,0
49380,PASS,,EG-0600,BS-4100,0
49418,PASS,,JR-2300,DP-1500,0
49471,PASS,,AV-0200,SJ-0100,0
50101,RUSH,DM-0700,,,0
50160,RUSH,DC-4400,,,1
50894,RUSH,EJ-1100,,,0
51598,PASS,,CC-1400,SJ-0400,1
51751,PASS,,,,0
51790,PASS,,,,0
52090,PASS,,JK-1500,RD-2100,1
52301,PASS,,RC-2800,QI-0100,0
52455,PASS,,TG-1600,TG-1300,1
52588,PASS,,CB-0900,GC-1000,0
52765,RUSH,DB-1500,,,0
53279,PASS,,KW-0500,AH-0200,0
53425,PASS,,SM-2400,KD-1900,1
53610,RUSH,EJ-0200,,,0
54416,PASS,,RC-2800,QI-0100,1
54539,PASS,,SM-2400,DB-1700,1
54722,PASS,,PM-0200,KD-1000,1
54897,PASS,,DC-4400,JR-0900,1
54929,PASS,,BF-0100,WH-0600,0
55984,RUSH,TG-1600,,,1
56006,PASS,,PM-0200,EJ-0200,1
56173,PASS,,RC-2800,BS-4100,0
56188,PASS,,RC-2800,TT-0400,0
56538,RUSH,AT-0500,,,1
56927,PASS,,CB-0900,LF-0600,0
56963,PASS,,CB-0900,LW-0400,1
57600,RUSH,RW-2600,,,0
57609,PASS,,,,0
57765,RUSH,DC-4400,,,1
57802,PASS,,DC-4400,BC-0800,0
57971,PASS,,TB-0200,DB-1600,1
59623,PASS,,TG-1600,MR-0800,0
60343,PASS,,BG-1900,RS-2100,0
60379,PASS,,BG-1900,RS-2100,1
60414,RUSH,MA-1000,,,1
61169,RUSH,TF-0700,,,0
61854,PASS,,AV-0200,EM-1800,1
62239,PASS,,AB-2900,WJ-0200,1
63482,PASS,,CW-1300,IB-0300,0
63528,PASS,,JG-0600,EJ-0900,1
64971,PASS,,BJ-1400,MA-0600,1
65627,RUSH,MM-2800,,,1
65634,PASS,,MM-2800,CS-0800,0
66258,PASS,,JG-0600,TO-0200,0
66608,RUSH,TG-1600,,,0
66680,PASS,,KW-0200,GR-0500,0
67688,RUSH,MF-0300,,,1
68183,PASS,,EG-0600,OA-0300,0
68725,RUSH,JW-2500,,,1
69363,RUSH,JP-3200,,,1
69524,PASS,,TB-1900,BC-0800,0
70132,PASS,,MB-4500,KM-0900,1
70622,PASS,,AV-0200,PP-1000,0
70654,PASS,,AV-0200,EM-1800,0
71615,PASS,,,,0
72283,PASS,,BJ-1400,MA-0600,1
74032,PASS,,VT-0200,CM-0600,0
74047,PASS,,VT-0200,WC-0100,0
74417,PASS,,SM-2400,KD-1900,0
74499,PASS,,SM-2400,DM-0500,1
74812,PASS,,,,0
75765,PASS,,,,0
76162,PASS,,JK-0200,KM-0300,0
77119,RUSH,SK-0400,,,1
77429,RUSH,KM-1100,,,1
77628,PASS,,,,0
79295,RUSH,TB-0400,,,1
79428,PASS,,TD-1400,CF-0300,1
80321,PASS,,,,0
80405,PASS,,TD-1100,JS-6500,0
81053,RUSH,RD-0700,,,1
81532,PASS,,TG-1600,EK-0300,1
81958,PASS,,TB-0200,ZF-0100,0
81994,RUSH,SD-0400,,,1
82420,RUSH,CG-0400,,,1
82714,PASS,,BF-0100,DD-2600,0
82731,PASS,,JG-0600,TS-3400,1
83854,PASS,,KW-0500,EC-0400,0
84367,PASS,,VT-0200,AB-1100,1
84991,RUSH,JW-2500,,,0
84999,RUSH,TG-1600,,,0
85474,PASS,,MB-4500,JS-4400,1
86138,RUSH,SM-2400,,,0
86164,RUSH,EG-0200,,,1
87974,PASS,,DB-2600,JR-1200,0
89451,PASS,,JP-3200,FS-0100,1
89643,RUSH,AB-2900,,,1
89797,PASS,,,,0
90526,RUSH,KW-0200,,,0
90571,RUSH,AS-2500,,,1
91591,PASS,,BJ-1400,MA-0600,0
92224,RUSH,AB-2900,,,1
92268,RUSH,DM-0700,,,0
92871,PASS,,SM-2400,DM-0500,0
92890,PASS,,SM-2400,FW-1100,0
92905,RUSH,EG-0200,,,0
93035,PASS,,DM-2200,CL-0900,1
93759,RUSH,DC-4400,,,0
93915,RUSH,BG-1900,,,0
94796,PASS,,DB-3800,CC-4100,0
95034,PASS,,MB-4500,FT-0100,1
95115,RUSH,DS-3500,,,1
95224,PASS,,TB-2300,MV-0400,0
95355,PASS,,AB-2900,JP-1300,0
95450,PASS,,TM-0200,HW-0100,1
95523,PASS,,TG-1600,DH-0600,0
95532,RUSH,CM-0600,,,1
96049,RUSH,QM-0500,,,1
96097,RUSH,JW-2500,,,0
98122,RUSH,DM-0700,,,0
98198,PASS,,PR-0100,CD-1800,0
98552,PASS,,JG-0600,GH-0900,1
100049,RUSH,DM-0700,,,0
100055,RUSH,AB-2900,,,0
100728,PASS,,,,0
101002,PASS,,JB-3800,TH-1100,1
101833,PASS,,DC-0700,JG-0100,1
102308,PASS,,TB-2300,DP-0500,0
102436,PASS,,AB-2900,BW-1850,1
102637,PASS,,TC-2600,DN-1400,1
102960,RUSH,EJ-0200,,,1
102981,PASS,,PM-0200,QI-0100,0
103134,PASS,,DM-2200,CL-0900,1
104395,PASS,,PM-0200,MH-1200,1
106074,RUSH,KF-0200,,,0
106088,PASS,,TB-2300,TB-3300,1
106498,RUSH,TR-0900,,,0
106606,PASS,,KC-2000,MR-1000,1
106899,PASS,,TM-0200,HW-0100,1
107668,PASS,,RG-0200,JP-3400,1
108187,PASS,,CP-0900,LC-0800,1
108827,PASS,,RL-1400,RW-2600,0
110041,PASS,,KS-2300,DK-1100,1
110055,PASS,,AR-0200,HW-0100,1
110532,PASS,,JP-3200,JM-2100,0
111354,PASS,,DC-0700,JA-0800,1
111844,PASS,,,,0
112328,RUSH,TG-1600,,,1
112360,RUSH,MH-1600,,,1
112468,PASS,,BJ-1400,KJ-0700,1
113673,PASS,,JB-3800,RH-3500,0
114001,PASS,,JM-4500,SP-1800,0
114140,RUSH,JM-6800,,,0
114317,PASS,,MB-4500,JS-4400,0
114791,PASS,,KC-2000,JS-2700,0
114834,RUSH,SM-2400,,,1
115444,RUSH,DM-0700,,,0
115549,PASS,,BJ-1400,KJ-0700,1
116074,RUSH,CT-0100,,,1
116235,RUSH,NG-0300,,,1
118005,PASS,,PR-0100,CD-1800,1
118217,RUSH,BF-0100,,,0
118386,PASS,,HB-0400,MB-2800,0
118962,PASS,,JK-1500,CD-1500,0
118994,RUSH,FT-0100,,,1
119844,PASS,,RG-0200,JP-3400,1
120029,PASS,,AB-2900,JH-5200,1
120047,RUSH,DC-4400,,,1
120671,RUSH,JG-0600,,,1
121613,PASS,,MM-2800,BS-1100,1
122436,RUSH,JM-6800,,,0
122457,PASS,,PM-0200,MP-1500,1
122748,PASS,,DB-3800,RC-0100,0
122936,PASS,,SB-0700,SS-1200,0
124090,RUSH,CD-1500,,,0
124561,PASS,,MM-2800,AC-1100,0
124595,PASS,,MM-2800,ED-0900,0
125070,PASS,,TB-2300,CF-0300,1
125546,RUSH,AZ-0100,,,0
125557,PASS,,TM-0200,PB-1000,1
125714,PASS,,DB-3800,RC-0100,1
126688,PASS,,KH-2100,QM-0500,0
126729,PASS,,AR-0200,JT-4300,1
126858,PASS,,JG-0600,TO-0200,1
126867,PASS,,JG-0600,TO-0200,1
126906,PASS,,JG-0600,TO-0200,0
127214,PASS,,HW-0100,PB-1000,1
128073,PASS,,,,0
128102,PASS,,RG-0200,JP-3400,0
128555,PASS,,JD-1400,RP-1900,0
128559,RUSH,MB-4500,,,0
128581,RUSH,NG-0300,,,0
129334,PASS,,BF-0100,BF-1100,1
129651,RUSH,SM-0100,,,0
129673,PASS,,JF-1400,TM-2800,0
130029,PASS,,KB-1300,TH-1100,1
133415,RUSH,TB-0400,,,1
134898,PASS,,,,0
135377,PASS,,PR-0100,DM-0900,1
136001,PASS,,DB-2600,EM-1800,0
137415,PASS,,JB-3800,BJ-1800,0
137779,PASS,,TB-1900,JF-1100,1
138068,PASS,,GF-0400,OS-0700,1
138128,PASS,,,,0
138409,PASS,,TS-0500,AW-0300,0
138620,RUSH,KS-2300,,,1
139436,PASS,,SM-2400,TC-0100,1
139796,PASS,,PR-0100,LC-0800,0
140458,RUSH,JB-3800,,,1
140919,RUSH,JB-3400,,,1
143175,PASS,,KB-1300,TH-1100,1
143208,PASS,,KB-1300,TH-1100,1
143697,PASS,,VT-0200,AB-1100,0
144484,RUSH,CC-1400,,,1
144846,PASS,,JG-0600,JW-1200,0
145275,PASS,,JH-1700,AH-0200,1
145323,PASS,,JH-1700,SA-0800,1
145952,PASS,,KC-2000,IH-0100,0
146596,RUSH,AH-1450,,,0
147541,PASS,,KB-1300,TH-1100,1
147867,PASS,,PR-0100,DM-0900,1
148447,RUSH,KC-2000,,,1
150599,PASS,,CP-0900,SM-3600,0
150633,PASS,,CP-0900,AB-1100,1
150819,PASS,,,,0
151361,PASS,,KB-1300,MR-1400,0
151712,RUSH,KW-2400,,,0
152263,PASS,,,,0
152585,PASS,,DF-1300,SA-0700,1
153254,PASS,,DC-4400,HG-0200,1
154908,RUSH,DR-1300,,,0
154933,PASS,,PM-0200,JM-6800,1
156430,PASS,,AB-2900,BW-1850,0
157560,PASS,,DM-2200,CL-0900,0
158399,RUSH,CP-2100,,,1
160016,PASS,,TG-1600,DH-0600,0
160317,PASS,,BF-0100,BF-1100,1
161780,RUSH,SM-2400,,,1
161808,PASS,,SM-2400,DM-0500,0
162081,PASS,,TC-2600,QM-0500,0
163538,RUSH,CT-0100,,,0
163708,PASS,,DB-3800,DB-3100,1
164185,RUSH,RH-2600,,,1
164249,PASS,,DB-2600,BS-1700,0
164861,PASS,,TG-1600,EK-0300,0
165022,PASS,,CP-0900,KL-1100,0
165200,PASS,,BJ-1400,KW-1100,1
165210,PASS,,BJ-1400,CL-0600,0
166460,PASS,,JG-0600,BL-1200,1
167908,PASS,,JM-2900,ES-1000,0
167917,RUSH,JM-2900,,,0
168209,PASS,,TC-2600,DN-1400,0
168995,PASS,,CP-0900,AB-1100,0
170787,PASS,,MB-4800,DL-1900,1
171614,PASS,,JD-1400,MM-5500,0
171630,PASS,,JD-1400,KD-1900,0
171644,RUSH,KF-0200,,,1
173401,PASS,,RG-0200,AW-1000,1
173579,PASS,,TR-0100,BL-1200,0
173698,RUSH,MF-0300,,,1
174336,PASS,,JM-2900,ES-1000,0
174676,PASS,,BR-1100,PB-1000,0
174972,PASS,,DC-0700,JG-0100,0
177068,PASS,,KB-1300,RH-3500,0
177394,PASS,,JH-1700,TS-3400,0
177714,RUSH,JW-1900,,,1
178063,PASS,,RG-2300,JG-0200,0
178537,PASS,,AB-2900,BW-1850,0
178568,PASS,,MB-4800,KC-2700,1
178714,PASS,,SM-2400,DM-0500,0
178731,PASS,,BL-0600,RW-2400,1
178866,PASS,,BJ-1400,KD-1000,0
178893,PASS,,BJ-1400,KD-1000,1
179054,PASS,,MB-4500,TJ-0700,1
179702,RUSH,TJ-2700,,,0
180316,PASS,,BL-0600,BJ-2300,1
181094,PASS,,TR-0100,CC-4100,0
181134,PASS,,TR-0100,CC-4100,1
183032,PASS,,TR-0100,AW-0200,0
183095,RUSH,TR-0100,,,1
183109,PASS,,TR-0100,BL-1200,1
184704,PASS,,BL-0600,RW-2400,1
184840,PASS,,MH-1600,JS-6400,1
184996,RUSH,LJ-1500,,,0
185012,PASS,,CP-0900,AB-1100,0
185339,PASS,,JD-1400,KC-1500,1
186806,PASS,,BL-0600,EW-0800,1
187895,PASS,,BG-1900,WH-0500,0
189075,PASS,,DC-4400,NB-0800,0
189215,PASS,,DM-2200,LS-1000,0
190062,PASS,,BF-0100,RF-0300,1
191026,PASS,,DC-0700,DA-1600,0
191390,PASS,,AF-0300,RM-3100,1
191555,RUSH,CK-1000,,,1
192178,RUSH,MF-0300,,,1
192527,PASS,,KB-1300,CM-2700,1
192624,RUSH,DC-4400,,,1
194815,RUSH,WM-0300,,,0
196142,RUSH,SM-2400,,,1
196274,PASS,,DC-4400,NB-0800,1
197610,PASS,,TG-1600,EK-0300,0
198230,PASS,,AB-2900,JH-5200,1
198893,PASS,,TG-1600,EK-0300,1
199209,RUSH,CD-1500,,,1
199887,PASS,,MH-1600,JU-0200,0
200036,PASS,,KC-2000,JP-3400,0
200048,PASS,,KC-2000,DJ-2100,0
200697,PASS,,LM-0800,SH-0600,1
200790,PASS,,JN-0500,LF-0200,0
201230,PASS,,AF-0300,CC-1300,1
201535,PASS,,CP-0900,WC-0100,0
202742,RUSH,PC-0900,,,0
202833,PASS,,MH-1600,DJ-0100,1
203021,RUSH,JM-2900,,,1
205851,PASS,,,,0
206817,PASS,,JH-1700,TS-3400,1
207009,PASS,,BF-0100,DD-2600,1
207660,PASS,,DM-2200,CL-0900,0
208134,PASS,,AF-0300,MB-2800,0
208144,PASS,,AF-0300,CC-1300,0
208814,PASS,,JK-1500,KW-0700,0
209089,PASS,,CH-4900,DC-1900,0
209302,RUSH,EJ-0200,,,1
210378,PASS,,BG-1900,JG-0500,0
211397,PASS,,JD-1400,MS-0700,1
212704,RUSH,WD-0700,,,0
212820,PASS,,CP-0900,AB-1100,0
212850,RUSH,SJ-0200,,,1
213050,PASS,,JH-1700,RW-3200,0
213225,PASS,,DC-4400,OS-0700,1
213368,PASS,,VT-0200,JW-6000,1
215324,PASS,,KC-2000,RM-5000,0
216718,PASS,,KW-0500,AB-1300,0
217208,RUSH,SJ-0200,,,0
218392,PASS,,DC-4400,MR-1400,1
219480,PASS,,MS-0200,AC-2700,1
221178,PASS,,AB-2900,ZH-0100,0
221869,PASS,,DB-2600,DC-0300,0
221967,PASS,,DB-2600,KJ-0700,1
223324,PASS,,,,0
223378,PASS,,DM-2200,BW-1000,1
224647,PASS,,JM-2900,AB-2000,0
224838,PASS,,BF-0100,AC-1300,0
224848,PASS,,JD-1400,SS-2100,0
224858,PASS,,BF-0100,DM-0300,1
224880,PASS,,BF-0100,RF-0300,1
225217,PASS,,MS-0200,BF-0400,1
225887,PASS,,MB-4500,DP-0500,0
226390,PASS,,DC-0700,CB-2500,1
227199,RUSH,LT-0600,,,0
228275,PASS,,TG-1600,MB-2600,1
229527,RUSH,MF-0300,,,1
230466,PASS,,DC-0700,MR-1000,0
231956,RUSH,MW-2900,,,0
233644,PASS,,SM-2400,CB-3600,0
234988,PASS,,KC-2000,JP-3400,0
235009,RUSH,LJ-1500,,,1
235637,PASS,,BB-2400,WC-0100,0
236265,PASS,,PM-0200,RW-1100,0
236454,PASS,,MV-0300,BF-0400,1
237004,RUSH,OA-0300,,,1
237508,PASS,,TB-2300,TB-3300,0
237543,PASS,,GF-0400,RB-3900,0
237547,RUSH,HE-0300,,,1
237728,RUSH,TB-0400,,,1
237884,PASS,,JP-3200,JP-4400,1
238156,PASS,,MB-4500,CP-2100,1
238225,RUSH,MA-0600,,,1
240370,PASS,,KD-1400,JM-6400,0
240515,PASS,,KW-0500,AB-2000,1
240543,PASS,,JM-1100,AH-1450,1
242005,PASS,,CP-0500,MS-0500,1
242017,RUSH,JG-3500,,,1
242336,PASS,,TB-2300,CF-0300,0
242519,RUSH,RD-1800,,,0
243045,PASS,,EM-0200,JS-2700,1
243414,PASS,,KD-1400,TJ-0400,1
246011,RUSH,OA-0300,,,1
247603,RUSH,DG-0600,,,1
254835,PASS,,MS-0200,BF-0400,1
256000,PASS,,MC-0700,BC-0900,0
258214,PASS,,PM-0200,RW-1100,1
259938,RUSH,TH-1400,,,1
259953,PASS,,KC-2000,DB-1700,1
260931,RUSH,CK-0900,,,0
261356,PASS,,DC-4400,CC-1300,0
265116,RUSH,RD-0700,,,1
265261,PASS,,SM-2400,TH-1100,0
265461,PASS,,EM-0200,AT-0900,0
266384,RUSH,VY-0100,,,1
266749,PASS,,RB-3900,CC-1300,0
266911,PASS,,BJ-1400,TT-0400,0
267082,PASS,,DB-3800,JH-5200,1
267557,PASS,,MB-4800,IB-0200,1
271923,PASS,,MB-4500,SM-3600,1
273217,PASS,,JH-1700,MB-2800,1
274667,PASS,,PM-0200,MH-1200,0
274712,PASS,,MB-4500,CC-4300,1
274836,RUSH,TR-0800,,,1
275164,PASS,,MS-0200,EB-0900,0
275370,PASS,,DB-3800,BM-2200,1
275528,PASS,,SR-1200,AJ-0900,0
275837,PASS,,DH-4300,TG-1300,1
276457,PASS,,PM-0200,RW-1100,1
276907,PASS,,TR-0800,TO-0200,1
277466,PASS,,TR-0800,PC-0900,0
278854,PASS,,PR-0300,VJ-0100,1
280840,PASS,,TB-2300,RC-0100,1
281803,PASS,,MB-4800,IB-0200,0
285090,PASS,,ML-1000,AB-2000,0
285756,PASS,,DC-0700,WL-0200,1
287005,PASS,,MH-1600,JS-6400,1
287849,PASS,,TB-2300,TB-3300,1
290445,PASS,,,,0
290702,PASS,,JH-1700,MB-2800,1
293426,PASS,,TJ-0300,TT-0400,0
293587,RUSH,TB-0400,,,0
293597,PASS,,JG-0600,LS-1000,1
297917,PASS,,JK-1500,MW-2700,0
298096,RUSH,QG-0200,,,0
300009,PASS,,TG-1600,KW-2000,1
300195,PASS,,MH-1600,DB-3600,0
301194,RUSH,KF-0200,,,1
301507,PASS,,PM-0200,MH-1200,1
302329,PASS,,JC-6200,JW-0400,0
303586,PASS,,JK-1500,SM-1400,0
303896,PASS,,,,0
304063,RUSH,RJ-1800,,,1
306513,PASS,,JM-2900,RC-3100,1
307644,RUSH,RB-3900,,,1
308444,RUSH,KW-0800,,,0
311827,PASS,,GF-0400,TH-2300,1
312452,PASS,,JC-0500,CC-4300,1
313847,PASS,,TR-0800,TO-0200,0
314194,RUSH,SG-0100,,,1
315312,PASS,,,,0
316152,PASS,,AB-2000,LF-0200,0
316302,RUSH,RB-4900,,,1
316954,PASS,,TD-1400,AB-0800,0
317101,PASS,,JG-0600,AB-1100,0
317240,PASS,,SR-1200,AD-0400,1
317432,PASS,,DH-4300,DB-3200,0
317620,PASS,,CP-0900,LW-0500,1
321113,RUSH,PH-0600,,,1
321771,PASS,,JC-0500,AR-0200,1
321956,PASS,,DA-1300,BE-0200,0
321984,PASS,,DA-1300,JJ-5200,1
322912,RUSH,ML-2500,,,1
323071,PASS,,BR-1100,HW-0100,1
323659,PASS,,JC-0500,AR-0200,0
323704,PASS,,DM-2200,HB-0100,0
323750,PASS,,DM-2200,MS-0500,0
323880,RUSH,RB-4900,,,1
323901,PASS,,DB-3800,MC-2400,0
323918,RUSH,RB-4900,,,1
324595,PASS,,MS-0600,MW-1700,0
324687,PASS,,PM-0200,BF-0700,1
324692,RUSH,JA-0300,,,0
330412,PASS,,CR-0600,RW-2200,0
331068,RUSH,DG-0600,,,1
332004,PASS,,JC-5600,KW-2300,1
334848,PASS,,KC-1400,CB-0300,0
335136,PASS,,KB-1300,DD-0200,0
336554,PASS,,CW-3200,SH-1300,1
337193,RUSH,JA-0300,,,1
337645,PASS,,TC-2300,CC-4300,0
337853,RUSH,BB-2400,,,1
338267,PASS,,CP-0500,KW-0800,0
338438,PASS,,KO-0700,GO-0100,1
338647,RUSH,DW-0200,,,1
338763,PASS,,DH-4300,TG-1300,0
339293,PASS,,JR-3500,RC-3100,1
339634,PASS,,LM-0800,MC-1500,0
339976,PASS,,TS-2600,DD-0200,0
340217,PASS,,TC-2300,CC-4300,0
340584,RUSH,LM-0300,,,1
341089,PASS,,JB-2100,DH-0300,1
341738,RUSH,PT-0400,,,1
342362,RUSH,TJ-0300,,,1
342374,RUSH,TJ-0300,,,1
342680,PASS,,MB-4800,RM-3100,0
343207,PASS,,MH-1600,MP-1500,1
343361,RUSH,BR-1100,,,0
343374,PASS,,BR-1100,NW-0100,0
345152,PASS,,BF-0100,LW-0500,0
347074,PASS,,TJ-0300,SR-0500,0
347410,PASS,,TT-0900,MC-2700,1
347721,RUSH,DR-1300,,,1
347854,PASS,,JC-0500,LB-0400,0
349334,PASS,,PR-0300,LN-0100,1
349348,PASS,,JC-6200,ER-0500,1
350738,PASS,,KO-0700,BL-1200,1
351448,PASS,,DB-3800,RB-4900,0
352226,PASS,,,,0
352248,PASS,,BF-0100,CS-4200,0
352564,PASS,,,,0
352851,RUSH,EJ-0200,,,1
352861,PASS,,KW-0500,AB-2000,0
352912,RUSH,LW-0500,,,1
353079,PASS,,JO-0700,FG-0200,1
353735,PASS,,TE-0100,LE-0300,1
353886,PASS,,PR-0300,DS-3300,1
356296,PASS,,CP-0500,BU-0300,0
356470,PASS,,BR-1100,HM-0200,0
357112,PASS,,BF-0100,JC-5400,0
357750,RUSH,SS-1600,,,0
358839,PASS,,DA-1300,BE-0200,1
360228,PASS,,DO-0300,CJ-1100,1
360593,PASS,,DA-1300,BE-0200,1
362515,PASS,,JC-0500,CP-2100,0
363279,PASS,,KC-2000,AH-0300,1
363649,PASS,,DG-0600,JP-3400,0
363780,PASS,,JG-0600,IH-0100,0
363816,PASS,,JG-0600,AS-1700,1
364292,PASS,,MB-4800,DS-3700,0
365388,RUSH,KF-0200,,,0
365399,PASS,,PM-0200,RW-1100,1
366696,PASS,,SW-0100,JC-0700,0
367001,PASS,,JF-1900,DM-0500,1
367279,PASS,,DC-3200,BC-2500,0
367372,PASS,,TT-0900,TG-1300,0
