pid,type,bc,psr,trg,conv
367682,PASS,,EM-0200,PB-1000,0
367863,PASS,,KW-0500,LF-0200,0
368018,PASS,,MC-0700,JG-0100,1
369518,RUSH,DC-4400,,,0
369990,PASS,,MH-1600,BE-0600,0
371455,PASS,,SH-1100,IB-0200,0
372239,RUSH,DW-3600,,,1
372636,PASS,,DJ-1700,CC-0200,0
373051,PASS,,AR-1300,RM-0900,1
373058,RUSH,DM-0700,,,0
373521,PASS,,KW-0500,LF-0200,0
374159,PASS,,AR-1300,GJ-0400,1
374925,PASS,,PR-0300,MF-0800,0
376214,PASS,,MS-0200,AJ-0900,1
376974,RUSH,RB-4900,,,0
376987,PASS,,MR-2500,MJ-0800,1
377454,PASS,,MC-0700,WW-0200,1
378894,PASS,,PR-0300,CC-1300,0
378901,PASS,,PR-0300,AG-0500,0
379526,PASS,,DO-0300,CF-0600,1
379696,RUSH,MJ-2500,,,0
380343,PASS,,JR-3500,CS-0600,0
380495,PASS,,TR-0800,RW-3200,0
383018,PASS,,EM-0200,DH-3200,1
383760,PASS,,TT-0900,TG-1300,0
385309,PASS,,BF-0100,JC-5400,1
385650,RUSH,JC-6200,,,1
386667,PASS,,JD-1400,DW-3600,0
387285,PASS,,DM-2200,BW-1000,0
387301,PASS,,KW-0500,BP-0300,1
388268,PASS,,KO-0700,BM-0300,0
388710,RUSH,MJ-2500,,,0
389691,PASS,,AR-1300,GJ-0400,1
389845,PASS,,TB-2300,BW-0700,0
389850,PASS,,TB-2300,RM-5000,0
391669,PASS,,BL-0600,MS-5100,0
392922,PASS,,CP-0500,AC-0100,0
392947,PASS,,CP-0500,BL-0900,1
393094,PASS,,MS-4100,BJ-1800,0
394557,PASS,,JC-6200,EB-0600,1
395179,RUSH,TC-1300,,,1
396025,PASS,,KC-2000,AC-2700,0
396054,RUSH,CJ-1700,,,1
396211,RUSH,MC-0700,,,0
397479,PASS,,AR-1300,RG-1600,0
397944,PASS,,JD-1400,SS-2100,1
403790,PASS,,DB-3800,MC-2400,0
404411,PASS,,MS-0200,AJ-0900,1
404891,PASS,,MS-4100,MM-5300,1
405069,PASS,,AR-1300,RG-1600,0
405231,PASS,,PM-0200,PG-0100,0
405395,PASS,,MS-0100,BE-0200,0
405411,PASS,,CH-2400,GC-0200,0
405420,PASS,,MS-0100,DK-0400,0
407043,PASS,,MC-0700,JC-2300,1
407162,PASS,,TB-2300,RM-5000,1
407348,PASS,,JF-3100,KW-2300,0
407367,PASS,,JF-3100,MC-1500,1
407681,PASS,,JR-3700,SV-0100,0
408640,PASS,,MR-2500,JS-4800,0
409164,PASS,,MS-0100,BE-0200,0
409205,PASS,,,,0
409482,PASS,,MB-4800,DF-0500,0
410983,RUSH,DW-3600,,,1
411465,RUSH,JL-1400,,,1
411739,PASS,,BM-3600,RD-0900,0
411796,RUSH,DG-0600,,,1
412106,PASS,,MH-1600,JC-0700,0
413227,PASS,,JC-6200,MF-1300,1
414727,RUSH,CK-0900,,,0
415042,PASS,,DM-2200,LM-1000,1
416805,PASS,,DC-4400,CJ-1100,0
417128,PASS,,MS-0200,CB-3600,0
417432,PASS,,CH-2400,AF-0200,0
417969,RUSH,BQ-0100,,,0
419238,PASS,,AR-1300,GJ-0400,1
419590,RUSH,KM-2900,,,0
421045,PASS,,DM-2200,JA-2900,1
422701,PASS,,AR-1300,BJ-0300,1
423027,RUSH,RW-2600,,,1
423344,RUSH,CP-0500,,,1
423494,RUSH,JF-3100,,,1
423660,PASS,,MM-4700,KM-2600,0
423811,RUSH,QG-0100,,,0
425264,PASS,,,,0
426054,RUSH,DB-4800,,,0
426077,PASS,,MS-0100,DK-0400,1
426105,PASS,,MS-0100,BE-0200,1
429446,RUSH,WM-0300,,,0
430750,PASS,,DB-3800,LM-1500,1
431234,PASS,,JC-6200,DA-1700,0
434188,PASS,,SH-1100,CJ-1100,1
434486,PASS,,KC-2000,KB-1900,1
435231,PASS,,MS-0100,BE-0200,1
435915,PASS,,AS-1600,VD-0100,1
438011,PASS,,PR-0300,LN-0100,1
440427,PASS,,KK-1200,JA-2900,0
440911,PASS,,RF-0500,SJ-0600,0
441039,RUSH,CB-1400,,,1
442578,PASS,,JC-0500,JH-3700,0
443070,PASS,,BF-0100,VS-0100,0
444626,PASS,,JF-3100,MW-2800,0
445583,PASS,,CP-0500,,0
445586,PASS,,CP-0500,CJ-1200,0
445596,PASS,,MR-2500,RW-2200,1
446603,RUSH,JF-3100,,,0
447781,PASS,,JK-1500,JW-6000,1
448267,PASS,,DM-2200,FD-0200,0
448275,PASS,,MS-4100,NB-0800,0
448277,PASS,,DM-2200,FD-0200,0
448296,PASS,,MS-4100,BJ-1800,1
448309,PASS,,MS-4100,BP-0600,0
449121,PASS,,VY-0100,CJ-1700,0
449452,PASS,,TJ-0300,PH-0400,1
450253,RUSH,FJ-0100,,,0
450266,PASS,,JC-6200,MF-1300,1
451092,RUSH,MT-1300,,,1
452274,PASS,,MR-2500,JS-4800,0
452452,PASS,,SH-1100,BP-0600,0
453114,RUSH,RB-3900,,,0
453611,PASS,,MC-0700,DB-3200,0
453637,PASS,,MC-0700,DB-3200,0
453953,PASS,,DA-1300,LF-0200,1
454319,PASS,,TB-2300,BT-0300,0
454326,RUSH,MM-4800,,,1
454341,RUSH,MM-4800,,,1
456487,PASS,,MR-2500,RW-2200,1
456941,PASS,,MV-0300,JA-2900,1
458393,RUSH,AB-2600,,,1
459385,PASS,,KO-0700,JG-0100,0
460021,PASS,,CP-0500,JG-3700,1
461904,PASS,,JK-1500,RW-3200,1
463143,RUSH,JF-3100,,,1
464809,PASS,,MS-0200,JJ-3900,1
465240,PASS,,RG-2300,CC-4300,1
465255,PASS,,RG-2300,MS-0800,1
466262,RUSH,TH-1600,,,0
466764,PASS,,CW-1900,BO-0100,1
468858,PASS,,CW-1900,BO-0100,1
470333,PASS,,SW-0100,BW-0700,0
472816,RUSH,DW-5100,,,0
473256,PASS,,MV-0300,LM-1000,0
473880,RUSH,SM-3400,,,1
474384,RUSH,AR-0200,,,1
474718,RUSH,MR-2500,,,0
475647,RUSH,SK-0600,,,1
477654,PASS,,RG-2300,SM-3600,0
478942,PASS,,AD-0100,JS-3300,0
479298,RUSH,DW-4300,,,1
479815,PASS,,CN-0500,GO-0100,1
480125,PASS,,DB-3800,LM-1500,1
480146,PASS,,DB-3800,LM-1500,1
480469,RUSH,BJ-0600,,,1
482678,PASS,,CN-0500,LN-0100,0
484320,RUSH,KM-2900,,,0
484491,PASS,,JC-0500,CS-0600,0
485461,RUSH,AB-2600,,,1
486254,PASS,,JC-0500,DM-3100,0
486816,RUSH,WM-0300,,,1
486825,PASS,,TT-0700,BL-1200,0
486939,PASS,,AR-1300,JF-1600,0
487445,PASS,,MS-4100,CJ-1100,0
490091,PASS,,JF-3100,MW-2800,0
490239,PASS,,MM-4700,BM-0300,0
490287,RUSH,TT-0700,,,1
490611,PASS,,KK-1200,JK-1200,0
492923,PASS,,TJ-0300,BO-0100,0
493575,PASS,,PR-0300,CB-3000,1
494223,PASS,,CM-1500,JC-5600,0
494383,PASS,,,,1
494542,PASS,,JB-2100,LH-0600,1
497493,PASS,,JF-3100,MW-2800,0
498161,PASS,,AS-1600,MC-2900,1
498852,PASS,,CN-0500,SS-2100,1
498992,PASS,,JF-3100,KW-2300,0
500976,PASS,,MS-4100,TY-0300,1
502429,PASS,,CP-0400,AC-2100,0
505262,RUSH,TT-0700,,,1
505780,RUSH,DW-1000,,,1
506424,RUSH,DH-1700,,,0
507246,RUSH,PT-0400,,,0
508618,RUSH,DW-1000,,,1
509054,PASS,,JF-3100,KW-2300,1
509408,PASS,,RF-0500,MC-0800,0
510909,PASS,,MS-0100,JK-1000,0
510938,RUSH,BC-2000,,,0
512061,RUSH,JS-3700,,,0
512885,PASS,,,,0
513851,RUSH,JM-2900,,,1
514962,PASS,,JF-3100,KW-2300,1
514980,RUSH,JF-3100,,,0
515145,PASS,,MS-4100,TS-0700,1
515655,RUSH,DW-4300,,,1
515864,RUSH,JD-1400,,,0
517525,RUSH,FG-0200,,,0
517531,PASS,,DB-3800,DS-3300,1
518556,RUSH,DW-1000,,,0
519705,RUSH,DS-3300,,,1
520212,PASS,,BG-0100,JB-3650,1
520681,PASS,,AR-1300,JN-0900,1
520837,PASS,,BR-1100,LP-0700,0
520849,PASS,,PM-0200,WM-0300,1
520873,RUSH,WM-0300,,,0
521199,PASS,,CP-0500,RS-3250,1
522191,RUSH,AB-3400,,,1
522723,PASS,,TB-2300,RG-2200,0
522859,RUSH,DR-1450,,,1
524513,RUSH,MJ-2500,,,0
525403,PASS,,MS-4100,NB-0800,1
525792,RUSH,MB-3000,,,0
526605,PASS,,AR-1300,JJ-4200,0
527074,PASS,,,,0
528283,PASS,,RT-0150,JL-0260,1
528616,PASS,,JF-3100,MW-2800,0
529151,PASS,,KO-0700,DB-5300,1
529777,PASS,,AL-1100,RW-1100,0
529813,PASS,,AR-1300,JJ-4200,0
529829,RUSH,DB-4800,,,1
532111,PASS,,SB-1100,SJ-0200,1
532840,PASS,,TR-0800,DB-5300,0
533490,PASS,,CP-2000,KR-1200,1
533505,PASS,,,,0
535772,PASS,,BR-1100,HM-0200,1
536171,PASS,,JF-3100,MW-2800,0
536339,PASS,,JC-6200,BM-0300,0
536838,PASS,,MS-0100,DK-0400,0
537111,PASS,,BG-0100,JB-3650,0
538796,PASS,,JF-1900,AB-2000,1
538942,PASS,,BG-0100,RJ-0800,1
538967,PASS,,BG-0100,JP-0800,0
539608,PASS,,MH-1600,KB-1900,1
539974,PASS,,CP-0500,JC-5660,1
542058,RUSH,AP-0700,,,1
544141,PASS,,JF-3100,VJ-0100,1
544463,PASS,,SB-1100,BQ-0050,0
545683,RUSH,TR-0800,,,1
545957,RUSH,AP-1800,,,1
547904,PASS,,,,0
548467,RUSH,MO-0500,,,1
549480,PASS,,SB-1100,LK-0200,1
550549,PASS,,NF-0250,JA-2900,0
550844,PASS,,CP-0500,DM-3100,0
551122,PASS,,,,0
551169,PASS,,SB-1100,CG-1060,1
551494,PASS,,NF-0250,DL-1700,0
551969,PASS,,MR-2500,RW-2200,0
552171,RUSH,KC-2350,,,1
554005,PASS,,RT-0150,AF-0200,1
554304,PASS,,SB-1100,DA-0900,1
558325,RUSH,CM-1500,,,0
559282,PASS,,JF-3100,MW-2800,0
560290,PASS,,CH-2400,JS-2300,0
561226,PASS,,TR-0800,DH-1800,1
561863,PASS,,RW-3850,ZM-0200,1
562601,PASS,,MS-0200,AJ-0900,1
563087,PASS,,CK-0100,RM-5000,0
564747,PASS,,RW-3850,DB-0500,0
565250,RUSH,SB-1100,,,1
565452,PASS,,TR-0800,DB-5300,0
565616,PASS,,RG-1850,AR-1200,0
566685,RUSH,AF-0900,,,1
567002,PASS,,EM-0250,RW-4050,1
567376,PASS,,RG-1850,JR-1150,0
567873,PASS,,CP-0500,MF-0950,0
568029,PASS,,CH-2400,SB-2100,0
568596,RUSH,ZE-0100,,,0
570885,PASS,,EM-0250,SJ-0600,1
571418,RUSH,BC-3070,,,1
571594,PASS,,JC-6200,AJ-0430,1
571608,PASS,,JC-6200,BM-0300,1
574480,PASS,,AL-1100,DH-2800,0
574507,PASS,,AL-1100,RW-1100,1
575021,RUSH,MF-1300,,,1
575187,PASS,,MS-4100,KD-1700,0
575666,RUSH,TR-0800,,,0
575674,PASS,,TR-0800,TW-2270,1
577771,PASS,,CH-2400,JB-3650,0
578306,PASS,,PP-0400,LF-0200,0
578843,PASS,,CP-0500,MF-0950,0
581035,PASS,,PM-0200,DT-0900,0
582591,RUSH,ES-0200,,,1
585284,PASS,,JF-1900,MB-4050,1
585443,PASS,,AL-1100,GW-0650,0
585470,PASS,,AL-1100,CF-0650,1
586141,RUSH,MF-1300,,,0
586260,PASS,,AL-1100,CF-0650,1
587906,PASS,,RT-0150,MW-0500,0
589305,PASS,,DD-0450,TG-1300,1
589650,PASS,,RG-1850,NW-0500,1
589668,RUSH,RG-1850,,,1
591165,PASS,,BW-0850,DB-1800,1
591616,PASS,,MF-1000,AQ-0100,0
592016,PASS,,KC-1400,IP-0050,1
592168,PASS,,AL-1100,DH-2800,1
592515,RUSH,AB-3400,,,1
593371,PASS,,BR-1100,ES-0200,0
595856,RUSH,CO-0300,,,0
595890,PASS,,TB-2300,JE-0100,1
595938,RUSH,SV-0200,,,0
596414,PASS,,MF-1000,JJ-4200,0
596580,PASS,,MC-0700,GJ-0400,0
596615,PASS,,JF-1900,TS-2300,1
597174,PASS,,MS-4100,JB-2700,1
597224,PASS,,MS-4100,JF-0650,0
597232,PASS,,NF-0250,LM-1000,0
597247,RUSH,BB-3350,,,1
597255,PASS,,NF-0250,RC-2300,1
597270,PASS,,NF-0250,DJ-0200,0
597281,RUSH,CP-1950,,,0
598204,PASS,,JM-2900,BM-0300,1
599092,PASS,,KC-2350,PG-0100,0
599712,RUSH,PT-0400,,,0
599882,PASS,,NF-0250,RC-2300,0
599918,PASS,,NF-0250,RC-2300,1
600627,PASS,,MF-1000,AQ-0100,0
600779,PASS,,AD-0100,TE-0300,0
600946,PASS,,MS-4100,CJ-1100,0
602524,PASS,,MS-4100,JF-0650,1
602740,RUSH,RM-3900,,,1
603386,PASS,,JC-6200,EB-0600,1
604018,RUSH,RR-0400,,,1
605028,PASS,,,,0
605158,PASS,,TB-2300,JE-0100,1
605514,PASS,,KC-1400,JC-4300,0
606189,PASS,,KO-0700,DB-5300,0
606980,RUSH,MI-0100,,,1
607142,RUSH,SR-0700,,,1
607655,RUSH,SV-0200,,,0
607927,PASS,,PM-0200,WW-0200,1
608097,PASS,,AR-1300,AQ-0100,0
609128,PASS,,GS-1050,DN-0500,0
609694,RUSH,JF-2800,,,0
609698,PASS,,AD-0100,MS-0150,1
610501,PASS,,MS-4100,JF-0650,1
610638,RUSH,JD-3400,,,0
610663,PASS,,CP-0500,LF-0200,0
611247,RUSH,SL-0150,,,0
611802,RUSH,JD-3400,,,0
612150,PASS,,CN-0500,JC-5400,1
612755,PASS,,AR-1300,RC-1500,1
615410,PASS,,AS-1600,DB-3200,0
615607,PASS,,PM-0200,DT-0900,1
615780,PASS,,DA-1300,KB-0950,0
617607,PASS,,TB-2650,RE-0400,1
618593,RUSH,FJ-0100,,,1
619120,PASS,,DB-3800,BW-0700,0
620802,RUSH,TH-1850,,,0
620982,PASS,,JC-6200,MB-1800,1
621166,PASS,,KO-0700,RW-4050,1
623421,PASS,,GS-1050,JA-1250,0
624383,PASS,,RW-3850,JK-0250,0
626006,PASS,,MS-4100,GT-0100,0
626137,RUSH,JF-2800,,,1
626321,RUSH,LW-0500,,,0
626645,PASS,,JC-6200,DR-3200,1
626672,PASS,,JC-6200,MF-1300,1
626861,PASS,,MV-0300,JK-1000,0
628524,PASS,,BB-2425,CS-1500,0
628692,PASS,,BH-1900,KS-1350,0
629324,RUSH,RG-1850,,,0
629338,RUSH,MA-1150,,,1
629844,PASS,,TB-2300,JE-0100,0
630148,PASS,,BW-2625,MS-3400,1
630228,RUSH,LT-0050,,,0
631411,PASS,,MR-2500,HD-0300,1
631601,PASS,,BB-2425,AR-1250,1
635686,PASS,,TB-2650,CJ-1450,1
636686,PASS,,PM-0200,ES-0200,1
636727,RUSH,DT-0550,,,1
638680,PASS,,BR-1100,AB-3500,1
638692,PASS,,BR-1100,LM-1500,1
638976,PASS,,BB-2425,ML-0650,0
638986,PASS,,BB-2425,ML-1500,0
639534,RUSH,ST-0250,,,1
639822,PASS,,AS-1600,AF-0200,0
640149,RUSH,MF-1300,,,1
640308,PASS,,BR-1100,HM-0200,1
640475,PASS,,,,0
640530,PASS,,,,0
641470,PASS,,JH-3230,CH-1230,1
641956,PASS,,DS-3800,JC-0700,1
642642,RUSH,JR-2800,,,0
644624,PASS,,GS-1050,JK-1000,0
645245,PASS,,JC-6200,MB-1800,1
646124,RUSH,MA-1150,,,1
647088,PASS,,,,0
648260,RUSH,JB-2700,,,1
650846,PASS,,BR-1100,AB-3500,0
651679,PASS,,AR-1300,AQ-0100,0
652033,PASS,,RW-3850,LW-1450,1
652466,PASS,,BR-1100,MW-1250,1
652853,PASS,,RM-0300,DH-3950,1
653143,PASS,,AL-1100,CF-0650,1
653174,PASS,,AL-1100,AJ-0900,0
653633,RUSH,ML-2500,,,1
654328,PASS,,MM-2570,RS-3250,0
655393,PASS,,BR-1100,AB-3500,1
655424,PASS,,BR-1100,HM-0200,1
655507,PASS,,CK-0100,TS-2300,1
655665,PASS,,DB-3800,WS-0925,0
655868,RUSH,JB-2700,,,0
656194,PASS,,TT-0500,PH-0400,0
656212,RUSH,PH-0400,,,0
656374,PASS,,PR-0300,KA-0650,0
657539,PASS,,AR-1300,RR-1050,1
657870,PASS,,KC-2350,JC-5680,1
657998,PASS,,MR-2500,LT-0550,1
658221,RUSH,JF-2950,,,0
658893,PASS,,LM-0800,MC-2400,0
659480,PASS,,BR-1100,DH-2800,0
659843,PASS,,RT-0150,JL-0215,1
660142,RUSH,JB-2700,,,0
660361,PASS,,AS-1600,TK-0150,1
660389,PASS,,AS-1600,JA-2900,0
661104,RUSH,AW-1350,,,1
661825,RUSH,SR-0450,,,0
661942,RUSH,JH-4025,,,1
662156,PASS,,JM-2900,TG-0025,1
663268,PASS,,JC-6200,MM-0900,0
663283,PASS,,JC-6200,MF-1300,0
663593,PASS,,MR-2500,LH-0600,0
663599,PASS,,KC-2350,PG-0100,0
663755,PASS,,JW-5650,VJ-0100,1
664113,PASS,,JM-2900,TB-1060,0
664132,PASS,,JF-1900,JF-2800,0
664143,PASS,,JM-2900,AH-1900,1
665769,PASS,,LJ-1250,AB-3500,0
666289,PASS,,JC-6200,MF-1300,1
666495,PASS,,JM-2900,TB-1060,0
667384,PASS,,CK-0100,AB-2000,0
668086,RUSH,LM-1000,,,1
669260,PASS,,BH-1900,JG-3850,0
669602,PASS,,PR-0300,LG-0750,1
669628,PASS,,PR-0300,LG-0750,1
670099,PASS,,JF-1900,NB-0450,1
670868,PASS,,NF-0250,JC-4300,1
672788,PASS,,AR-1300,DA-0212,1
673121,PASS,,MM-0912,DW-0500,1
673354,RUSH,TG-1950,,,0
673415,RUSH,TB-2650,,,1
673716,PASS,,BR-1100,DW-3600,1
674004,PASS,,JW-5650,RS-0975,0
674705,RUSH,JL-0280,,,1
675055,PASS,,AR-1300,DA-0212,0
675941,PASS,,BR-1100,AB-3500,1
676170,PASS,,BB-2425,AH-3900,0
676182,PASS,,JF-1900,KA-0400,0
676706,RUSH,BO-0650,,,0
676862,PASS,,RW-3850,JK-0250,0
676869,PASS,,RW-3850,JG-2900,0
678078,RUSH,JL-0280,,,0
678208,PASS,,AR-1300,JJ-4200,1
679704,PASS,,MC-0700,DM-1600,1
680839,PASS,,,,0
680985,PASS,,MM-0912,DG-2650,1
681662,PASS,,BR-1100,JJ-0725,1
681713,PASS,,RW-3850,KS-1750,0
681718,PASS,,BR-1100,AB-3500,0
681726,RUSH,TR-0112,,,0
682272,RUSH,AR-1300,,,0
682726,PASS,,JW-5650,AH-3862,0
682904,RUSH,MI-0100,,,1
683240,RUSH,JG-3850,,,1
683357,RUSH,JA-0450,,,1
683652,PASS,,BB-2425,JT-2000,0
684203,PASS,,DC-3200,AS-0900,0
684230,PASS,,AS-1600,TK-0150,1
684495,PASS,,BR-1100,WJ-0300,1
685694,PASS,,MM-0912,DM-1200,1
686828,PASS,,DC-0725,CW-0225,0
688673,RUSH,TT-0500,,,1
690201,PASS,,DC-0725,SR-0750,1
690409,PASS,,KC-2350,JC-5680,1
690768,PASS,,ZM-0150,AF-0200,0
690973,PASS,,RT-0150,DP-0350,0
691324,PASS,,BB-2425,RG-1812,0
691360,PASS,,,,0
691404,PASS,,BB-2425,CH-1200,1
691552,PASS,,MS-4100,GT-0100,0
692291,PASS,,AR-1300,JJ-4200,1
693488,PASS,,BR-1100,FT-0300,1
695604,PASS,,BR-1100,MW-1250,0
695658,RUSH,JH-4025,,,0
695947,PASS,,AR-1300,JA-0050,1
696643,PASS,,PM-0200,DT-0900,1
696843,PASS,,TB-2300,JE-0100,0
696968,RUSH,JN-0625,,,1
696991,PASS,,CN-0500,MT-1300,1
697168,PASS,,PM-0200,BF-0950,1
698295,PASS,,MM-0912,DM-4300,0
698434,PASS,,DC-0725,MC-2900,0
698447,PASS,,DC-0725,AC-2350,1
698468,PASS,,DC-0725,MC-2900,1
698777,PASS,,MR-2500,MS-0150,1
699083,PASS,,AL-1100,DA-0850,1
701357,PASS,,,,0
701820,RUSH,MR-2500,,,1
702045,PASS,,TS-1450,DT-0900,1
702825,PASS,,CP-0500,JB-6750,0
703179,PASS,,CK-0550,GB-0200,1
703370,RUSH,TS-1450,,,0
703645,RUSH,JM-3450,,,1
704199,PASS,,JW-5650,VJ-0100,0
704209,RUSH,CK-0250,,,0
704223,PASS,,JW-5650,VJ-0100,0
704396,RUSH,CH-5000,,,1
704863,PASS,,AL-1100,TH-1850,0
705152,RUSH,MI-0100,,,1
705831,RUSH,CN-0500,,,1
705851,PASS,,DA-1300,GO-0100,1
706198,PASS,,MS-4100,GT-0100,1
706326,PASS,,JF-1900,SS-2100,0
706369,PASS,,JF-1900,MW-0500,1
707413,PASS,,BR-1100,MW-1250,1
708395,PASS,,CW-1900,TP-2400,0
709654,PASS,,DC-0725,AC-2350,1
709970,PASS,,JW-5650,AH-3862,1
710561,PASS,,CN-0500,DF-2200,1
710893,PASS,,CK-0550,RL-1325,0
711415,PASS,,BR-1100,LB-0250,1
713140,PASS,,RT-0150,JL-0215,1
713194,PASS,,TT-0500,RB-4900,1
713364,PASS,,BK-0700,RS-3400,0
713592,RUSH,CW-1425,,,1
715156,RUSH,BB-2425,,,1
715678,RUSH,MR-2500,,,0
715735,RUSH,AR-1300,,,1
716103,PASS,,EM-0250,NO-0150,1
716282,PASS,,JM-2900,TP-2400,1
716428,PASS,,JW-5650,ME-0600,1
716608,PASS,,DB-3800,CF-0650,0
716796,PASS,,PR-0300,HH-0225,0
716984,PASS,,CP-0500,JN-0625,0
717446,PASS,,MR-2500,JJ-4700,0
717497,RUSH,JW-5650,,,0
717517,PASS,,MG-0850,BM-3800,1
718460,PASS,,JF-1900,SS-2100,1
718996,PASS,,AR-1300,DA-0212,0
719507,RUSH,TT-0500,,,1
719663,PASS,,JF-1900,KJ-1400,1
719843,RUSH,RM-1200,,,1
720309,RUSH,JS-6200,,,0
720316,PASS,,MM-0912,RM-1500,0
720536,PASS,,BB-2425,AR-1250,1
720680,PASS,,AS-1600,TK-0150,1
721201,PASS,,BR-1100,LG-0750,0
721224,PASS,,BR-1100,JJ-0725,0
721332,PASS,,BR-1100,FT-0300,0
721344,PASS,,DP-2037,DB-5300,0
721351,PASS,,BR-1100,AB-3500,0
721358,PASS,,DP-2037,DB-5300,0
721687,PASS,,RW-3850,DB-0500,0
722922,PASS,,BR-1100,DJ-1300,1
723827,PASS,,CW-1425,NA-0050,1
723925,RUSH,CT-1220,,,0
723958,RUSH,KC-2350,,,0
724425,PASS,,KC-2350,DC-0775,0
724760,PASS,,CP-0500,MF-0950,0
725079,RUSH,LM-1000,,,1
726185,PASS,,CN-0500,CB-3850,0
726198,PASS,,CN-0500,GO-0100,0
726224,PASS,,DC-0725,SR-0750,1
726403,PASS,,TB-2300,JW-2550,1
726583,PASS,,AS-1600,DH-1450,1
726942,PASS,,SB-1100,KR-1200,0
727244,PASS,,MS-4100,TJ-2350,0
727557,PASS,,MR-2500,DF-1875,0
727575,PASS,,MR-2500,AH-3650,1
727873,PASS,,RT-0150,JL-0215,0
728396,PASS,,DC-0725,SR-0750,1
728478,PASS,,BR-1100,AB-3500,0
728712,PASS,,JW-5650,ME-0600,1
729527,PASS,,CP-0500,DJ-1325,1
730790,PASS,,PR-0300,AG-0500,0
730945,PASS,,CW-1425,JM-1550,0
730972,PASS,,KC-2350,JR-1150,0
731122,RUSH,BP-0625,,,1
732970,RUSH,RM-1200,,,1
733095,PASS,,CW-1425,JM-1550,0
733405,PASS,,,,0
734205,PASS,,BR-1100,AB-3500,0
735113,RUSH,JM-3450,,,0
735550,RUSH,MI-0100,,,1
736092,PASS,,AL-1100,TH-1850,1
736246,PASS,,RW-3850,MR-0500,1
736452,RUSH,CK-0100,,,1
736698,PASS,,JF-1900,SS-2100,1
737600,PASS,,CN-0500,GO-0100,0
738258,PASS,,AR-1300,DA-0212,1
738759,PASS,,TB-2300,JE-0100,1
738909,RUSH,MI-0100,,,0
738935,PASS,,DB-3800,TH-1600,0
739545,PASS,,CC-4250,AC-2350,0
740221,PASS,,MM-4700,DP-0350,0
740878,PASS,,AS-1600,JM-0200,0
741026,RUSH,DP-2037,,,1
741177,RUSH,AR-0875,,,1
741204,RUSH,CM-2280,,,0
741380,PASS,,BR-1100,DW-3600,1
741548,PASS,,TB-2300,DA-0900,1
